job_names,job_group,level,salary,work_mode,domain_list,domain_group,skills_list,languages,tools,frameworks,libraries,programming_languages,others,company_names,city,post_date
Automation Tester,QA / Tester,principal,Unknown,At office,"['Software Products and Web Services', 'Financial Services']","['Finance', 'IT & Software']","['QA QC', 'LLM', 'API', 'AI', 'A/B testing', 'Automation Test']",,['API'],,,,"['QA QC', 'LLM', 'AI', 'A/B testing', 'Automation Test']","MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,2025-11-25
Mobile Application Developer,Backend Developer,mid,Up to $4000,Hybrid,"['Real Estate, Property and Construction', 'Software Products and Web Services']","['IT & Software', 'Real Estate / Construction']","['Android', 'English', 'CI/CD', 'Clean Architecture', 'MVVM', 'Kotlin']",['English'],,['MVVM'],,['Kotlin'],"['Android', 'CI/CD', 'Clean Architecture']",SMG Swiss Marketplace Group,Ho Chi Minh,2025-11-24
Mobile Application Developer,Backend Developer,mid,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Mobile Apps', 'ReactJS', 'API', 'Flutter', 'iOS', 'Android']",,['API'],"['ReactJS', 'Flutter']",,,"['Mobile Apps', 'iOS', 'Android']",ONE Tech Stop Vietnam Company Ltd,Da Nang,2025-11-24
Backend Developer,Backend Developer,mid,Unknown,At office,['AI Software & Services'],['AI / Emerging Tech'],"['Java', 'MySQL', 'Spring']",,['MySQL'],['Spring'],,['Java'],,LG CNS Việt Nam,Ha Noi,2025-11-24
Fullstack Developer,Fullstack Developer,Unknown,Unknown,At office,['AI Software & Services'],['AI / Emerging Tech'],"['Spring Boot', 'ReactJS']",,,"['Spring Boot', 'ReactJS']",,,,LG CNS Việt Nam,Ha Noi,2025-11-24
Data Engineer,Data / AI,Unknown,Unknown,At office,['AI Software & Services'],['AI / Emerging Tech'],"['Oracle', 'AWS']",,"['Oracle', 'AWS']",,,,,LG CNS Việt Nam,Ha Noi,2025-11-24
Data Scientist,Data / AI,all level,Unknown,Hybrid,"['IT Services and IT Consulting', 'Transportation, Logistics and Warehouse']","['IT & Software', 'Logistics']","['NLP', 'LLM', 'Generative AI', 'Machine Learning', 'MLOps', 'English']",['English'],,,,,"['NLP', 'LLM', 'Generative AI', 'Machine Learning', 'MLOps']",MTI TECHNOLOGY,Ho Chi Minh,2025-11-24
Fullstack Developer,Fullstack Developer,mid,Up to $1300,At office,['Software Products and Web Services'],['IT & Software'],"['Java', 'GitHub', 'PostgreSql', 'JUnit', 'Spring', 'JavaScript']",,"['GitHub', 'PostgreSql', 'JUnit']",['Spring'],,"['Java', 'JavaScript']",,Rakus Vietnam Company,Ho Chi Minh,2025-11-24
Backend Developer,Backend Developer,senior,Unknown,At office,['Financial Services'],['Finance'],"['Golang', 'Java', 'Database', 'Security']",,,,,"['Golang', 'Java']","['Database', 'Security']",Trusting Social,Ho Chi Minh,2025-11-24
ERP Developer,ERP / Enterprise Systems,intern,Unknown,At office,"['E-commerce', 'Retail and Wholesale', 'IT Services and IT Consulting', 'Trading and Commercial', 'Software Products and Web Services']","['IT & Software', 'Ecommerce & Retail']","['ERP', 'Microsoft Dynamics 365', 'Stakeholder management', 'Leadership', 'Project Management', 'Data Analysis']",,,,,,"['ERP', 'Microsoft Dynamics 365', 'Stakeholder management', 'Leadership', 'Project Management', 'Data Analysis']",Yes4All,Ho Chi Minh,2025-11-24
Software/Technical Architect,Manager / Lead,junior,Unknown,At office,"['Blockchain & Web3 Services', 'Banking', 'Securities & Investment']","['Finance', 'AI / Emerging Tech']","['Java', 'Python']",,,,,"['Java', 'Python']",,SSI Securities Corporation,Ha Noi,2025-11-24
Fullstack Developer,Fullstack Developer,senior,Up to $2500,At office,"['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Python', 'Database', 'English', 'Microservices', 'AWS', 'ReactJS']",['English'],['AWS'],['ReactJS'],,['Python'],"['Database', 'Microservices']",DataXight,Ho Chi Minh,2025-11-24
Software Engineer in Test (SDET),QA / Tester,senior,Up to $3600,At office,"['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Automation Test', 'English', 'Unit test', 'Docker', 'AWS', 'Python']",['English'],"['Docker', 'AWS']",,,['Python'],"['Automation Test', 'Unit test']",DataXight,Ho Chi Minh,2025-11-24
Fullstack Developer,Fullstack Developer,lead,Up to $3600,At office,"['Software Development Outsourcing', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['Python', 'CI/CD', 'English', 'NoSQL', 'Microservices', 'AWS']",['English'],['AWS'],,,['Python'],"['CI/CD', 'NoSQL', 'Microservices']",DataXight,Ho Chi Minh,2025-11-24
Backend Developer,Backend Developer,mid,Unknown,At office,"['E-commerce', 'Transportation, Logistics and Warehouse']","['Logistics', 'Ecommerce & Retail']","['Golang', 'MongoDB', 'Java', 'PostgreSql', 'NoSQL']",,"['MongoDB', 'PostgreSql']",,,"['Golang', 'Java']",['NoSQL'],GHN,Ho Chi Minh,2025-11-24
DevOps Engineer,DevOps / Cloud,intern,Unknown,At office,['Software Products and Web Services'],['IT & Software'],"['DevOps', 'Cloud', 'CI/CD', 'Kubernetes', 'Terraform', 'Docker']",,"['Kubernetes', 'Terraform', 'Docker']",,,,"['DevOps', 'Cloud', 'CI/CD']",Smartoshi Technology,Ho Chi Minh,2025-11-24
Manual Tester,QA / Tester,Unknown,Up to $1224,At office,"['Banking', 'Software Development Outsourcing', 'Financial Services']","['Finance', 'IT & Software']","['Tester', 'Cucumber', 'Katalon', 'API', 'QA QC', 'SQL']",,"['Katalon', 'API']",['Cucumber'],,['SQL'],"['Tester', 'QA QC']",Thien Hoang Solutions JSC,Ha Noi,2025-11-26
Frontend Developer,Frontend Developer,Unknown,Up to $1500,Hybrid,['E-commerce'],['Ecommerce & Retail'],"['JavaScript', 'ReactJS', 'AngularJS']",,,"['ReactJS', 'AngularJS']",,['JavaScript'],,Nitori Digital Base Vietnam,Ha Noi,2025-11-26
